Question;Question Type
"Passage Excerpt :

""Space exploration has captivated human imagination for centuries. (A) The launch of Sputnik 1 in 1957 marked the beginning of the Space Age. (B) Since then, humans have landed on the Moon and sent probes to distant planets. (C) The future of space exploration holds the promise of manned missions to Mars and the colonization of other celestial bodies. (D)""

Question :

Where would the sentence ""The International Space Station, a collaborative effort between multiple countries, has been continuously inhabited since 2000"" best fit?

A.  A
B.  B
C.  C
D.  D";Insert Text Question
"Passage Excerpt :

""The Great Depression was a severe worldwide economic depression that began in 1929 and lasted for a decade. (A) It had a devastating impact on economies and societies around the globe. (B) Unemployment rates soared, businesses failed, and poverty increased. (C) Government intervention, through policies such as the New Deal in the United States, helped to alleviate the crisis. (D)""

Question :

Where would the sentence ""The stock market crash of 1929 triggered a chain reaction of bank failures and economic decline"" best fit?

A.  A
B.  B
C.  C
D.  D";Insert Text Question
"Passage Excerpt :

""The Cold War was a period of geopolitical tension between the United States and the Soviet Union. (A) It was characterized by an arms race, espionage, and proxy wars. (B) The Cold War ended with the collapse of the Soviet Union in 1991. (C) The Berlin Wall, which divided East and West Berlin, became a symbol of the Cold War. (D)""

Question :

Where would the sentence ""The Cuban Missile Crisis in 1962 brought the world to the brink of nuclear war"" best fit?

A.  A
B.  B
C.  C
D.  D";Insert Text Question
"Passage Excerpt :

""The American Civil War was a major conflict between the Union and the Confederacy. (A) It was fought over the issue of slavery and states' rights. (B) The war resulted in the abolition of slavery and the reunification of the country. (C) The Battle of Gettysburg was a turning point in the war, leading to a Union victory. (D)""

Question :

Where would the sentence ""The Civil War was a devastating conflict that claimed hundreds of thousands of lives"" best fit?

A.  A
B.  B
C.  C
D.  D";Insert Text Question
"Passage Excerpt :

""The French Revolution was a period of radical social and political upheaval in France. (A) It began in 1789 with the storming of the Bastille. (B) The revolution led to the execution of King Louis XVI and Queen Marie Antoinette. (C) The ideals of liberty, equality, and fraternity inspired revolutionary movements around the world. (D)""

Question :

Where would the sentence ""The French Revolution was influenced by Enlightenment ideas, such as popular sovereignty and individual rights"" best fit?

A.  A
B.  B
C.  C
D.  D";Insert Text Question
"Passage :

The Industrial Revolution marked a significant shift in human history, transforming societies and economies worldwide. This period witnessed the mechanization of production processes, leading to increased efficiency and productivity. As factories sprang up, rural populations migrated to urban centers, creating bustling industrial cities. This rapid urbanization brought about significant social and economic changes, including the rise of a new working class and the emergence of a consumer culture. However, the Industrial Revolution also had its drawbacks, such as poor working conditions, child labor, and environmental pollution.

Question :
This passage discusses the Industrial Revolution. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The Industrial Revolution led to the mechanization of production processes.
B. Rural populations migrated to urban centers during the Industrial Revolution.
C. The Industrial Revolution created new social and economic challenges.
D. Child labor was a significant problem during the Industrial Revolution.
E. The Industrial Revolution led to the rise of a consumer culture.
F. The Industrial Revolution had a negative impact on the environment.";Prose Summary Question
"Passage :

Climate change, a pressing global issue, is caused by the increasing concentration of greenhouse gases in the atmosphere. These gases, primarily carbon dioxide and methane, trap heat from the sun, leading to a warming planet. The consequences of climate change are far-reaching, including rising sea levels, extreme weather events, and disruptions to ecosystems. To mitigate the effects of climate change, international cooperation is essential. Countries around the world must work together to reduce greenhouse gas emissions and transition to clean and renewable energy sources.

Question :
This passage discusses climate change. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. Climate change is caused by greenhouse gas emissions.
B. Climate change is a global issue that requires international cooperation.
C. Rising sea levels are a consequence of climate change.
D. Renewable energy sources can help mitigate climate change.
E. Extreme weather events are becoming more frequent due to climate change.
F. The concentration of methane in the atmosphere is increasing.";Prose Summary Question
"Passage :

Artificial intelligence, or AI, has made significant advancements in recent years, with applications ranging from healthcare to finance. AI systems can analyze vast amounts of data and make predictions or decisions with increasing accuracy. However, the rapid development of AI raises ethical concerns, such as the potential for job displacement and algorithmic bias. To ensure that AI is used responsibly, it is crucial to develop ethical guidelines and regulations. Additionally, it is important to educate the public about the potential benefits and risks of AI.

Question :
This passage discusses artificial intelligence. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. AI systems can analyze large amounts of data.
B. AI can be used in various industries, such as healthcare and finance.
C. The rapid development of AI raises ethical concerns.
D. Algorithmic bias is a potential risk of AI.
E. Ethical guidelines are needed to regulate the development and use of AI.
F. AI can lead to job displacement.";Prose Summary Question
"Passage :

The Great Depression was a severe worldwide economic downturn that began in 1929 and lasted for a decade. The stock market crash of 1929 triggered a chain reaction of bank failures, business closures, and widespread unemployment. Governments around the world implemented various policies to stimulate economic recovery, such as increased government spending and job creation programs. While the Great Depression had a devastating impact on global economies, it also led to significant social and political changes, including the rise of new economic theories and government intervention in the economy.

Question :
This passage discusses the Great Depression. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The stock market crash of 1929 triggered the Great Depression.
B. The Great Depression led to widespread unemployment and poverty.
C. Governments implemented policies to stimulate economic recovery during the Great Depression.
D. The Great Depression led to the rise of new economic theories.
E. The Great Depression had a lasting impact on global economies.
F. The Great Depression was primarily a problem in the United States.";Prose Summary Question
"Passage :

The Cold War, a period of geopolitical tension between the United States and the Soviet Union, lasted from the mid-20th century to the early 1990s. This ideological conflict between capitalism and communism led to a global arms race and proxy wars around the world. The Cold War had a profound impact on international relations, shaping the political and economic landscape of the 20th century. Despite the tensions and threats of nuclear war, diplomacy and détente eventually helped to ease Cold War tensions and pave the way for the end of the Cold War.

Question :
This passage discusses the Cold War. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The Cold War was a period of geopolitical tension between the United States and the Soviet Union.
B. The Cold War led to a global arms race.
C. The Cold War was primarily an ideological conflict between capitalism and communism.
D. Diplomacy and détente helped to ease Cold War tensions.
E. The Cold War had a significant impact on international relations.
F. The Cold War led to the collapse of the Soviet Union.";Prose Summary Question
"Passage :

The Renaissance was a period of great cultural and artistic flourishing in Europe, beginning in the 14th century and lasting until the 17th century. This era saw a revival of classical learning and a focus on humanism. Renaissance artists and thinkers challenged traditional ideas and explored new concepts in art, literature, science, and philosophy. Key figures of the Renaissance include Leonardo da Vinci, Michelangelo, and Galileo Galilei. The Renaissance marked a significant turning point in European history, paving the way for the Age of Enlightenment and the modern world.

Question :
This passage discusses the Renaissance. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The Renaissance was a period of cultural and artistic flourishing in Europe.
B. Renaissance artists and thinkers challenged traditional ideas.
C. Humanism was a key characteristic of the Renaissance.
D. Leonardo da Vinci, Michelangelo, and Galileo Galilei were prominent figures of the Renaissance.
E. The Renaissance marked a turning point in European history.
F. The Renaissance was primarily a religious movement.";Prose Summary Question
"Passage :

The French Revolution, a period of significant social and political upheaval in France, began in 1789. The Revolution was sparked by economic inequality, political corruption, and social unrest. The French people overthrew the monarchy and established a republic based on the principles of liberty, equality, and fraternity. However, the Revolution was a violent and chaotic period, marked by radical factions and the execution of King Louis XVI and Queen Marie Antoinette. Ultimately, the French Revolution led to the Napoleonic Wars and the rise of Napoleon Bonaparte.   

Question :
This passage discusses the French Revolution. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The French Revolution was sparked by economic inequality and social unrest.
B. The French people overthrew the monarchy and established a republic.
C. The French Revolution was a peaceful and orderly process.
D. The French Revolution led to the execution of King Louis XVI and Queen Marie Antoinette.
E. The French Revolution had a significant impact on European history.
F. The French Revolution was a major turning point in the history of human rights.";Prose Summary Question
"Passage :

The Industrial Revolution in Britain, which began in the late 18th century, transformed the nation into a global economic powerhouse. This period saw rapid technological advancements, such as the invention of the steam engine and the cotton gin. These innovations led to increased productivity and efficiency in various industries, including textiles, manufacturing, and transportation. The Industrial Revolution also brought about significant social and economic changes, including urbanization, the rise of a working class, and the development of a new capitalist system.

Question :
This passage discusses the Industrial Revolution in Britain. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The Industrial Revolution in Britain began in the late 18th century.
B. The Industrial Revolution led to rapid technological advancements.
C. The steam engine and the cotton gin were key inventions of the Industrial Revolution.
D. The Industrial Revolution transformed Britain into a global economic powerhouse.
E. The Industrial Revolution led to urbanization and the rise of a working class.
F. The Industrial Revolution had a negative impact on the environment.";Prose Summary Question
"Passage :

The American Civil War, a conflict between the Union and the Confederacy, took place from 1861 to 1865. The war was primarily fought over the issue of slavery, with the Southern states seceding from the Union to preserve the institution. The Civil War was a devastating conflict that resulted in the deaths of hundreds of thousands of soldiers and civilians. The Union's victory led to the abolition of slavery and the reunification of the nation. However, the legacy of the Civil War continues to shape American society and politics.

Question :
This passage discusses the American Civil War. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The American Civil War was fought over the issue of slavery.
B. The Southern states seceded from the Union to preserve slavery.
C. The Civil War was a devastating conflict that resulted in many casualties.
D. The Union's victory led to the abolition of slavery.
E. The Civil War had a lasting impact on American society and politics.
F. The Civil War was primarily a conflict over states' rights.";Prose Summary Question
"Passage :

The Russian Revolution of 1917 was a pivotal event in world history, leading to the overthrow of the Tsarist autocracy and the establishment of the world's first communist state. The Revolution was sparked by social and economic inequality, political corruption, and the strains of World War I. The Bolshevik Party, led by Vladimir Lenin, seized power and implemented radical reforms, including land redistribution, nationalization of industries, and the creation of the Soviet Union. The Russian Revolution had a profound impact on the 20th century, shaping the course of international relations and global politics.

Question :
This passage discusses the Russian Revolution of 1917. Which THREE choices express the most important ideas in the passage?

Answer Choices:
A. The Russian Revolution led to the overthrow of the Tsarist autocracy.
B. The Bolshevik Party, led by Vladimir Lenin, seized power.
C. The Russian Revolution was sparked by social and economic inequality.
D. The Russian Revolution led to the establishment of the Soviet Union.
E. The Russian Revolution had a significant impact on";Prose Summary Question
"Passage :

The concept of leisure has evolved significantly over time. In ancient civilizations, leisure was often associated with the privileged classes and was seen as a reward for hard work. It involved activities like attending plays, visiting public baths, or engaging in philosophical discussions. In contrast, the Industrial Revolution brought about a shift in societal attitudes toward leisure. With the rise of the working class, leisure time became a valuable commodity, and governments began implementing policies to ensure workers had time to rest and relax. Today, leisure is viewed as an essential component of a healthy lifestyle, and people engage in a wide range of activities, from sports and hobbies to travel and cultural pursuits.

Question:

Complete the table below to summarize the evolution of the concept of leisure. Match the appropriate statements to the corresponding time period.

Time Period: Ancient Civilizations, Industrial Revolution, Modern Era

Statements:
A Leisure was primarily for the elite.
B Leisure was seen as a reward for hard work.
C Government policies promoted leisure time for workers.
D Leisure was associated with philosophical discussions and public baths.
E Leisure activities were diverse and included sports, travel, and cultural pursuits.
F Leisure was not considered essential for a healthy lifestyle.";Fill in a Table Question
"Passage :

The human brain is a complex organ that is constantly changing and adapting. Neuroplasticity, the brain's ability to reorganize itself by forming new neural connections, is a key factor in learning and memory. When we learn new information or skills, our brains create new neural pathways. The more we practice, the stronger these pathways become. This process of neural plasticity allows us to acquire new knowledge and abilities throughout our lives.

Question:

Complete the table below to summarize the key concepts related to neuroplasticity. Match the appropriate statements to the corresponding term.

Term: Neuroplasticity, Neural Pathways

Statements:
A The ability of the brain to reorganize itself.
B Connections between neurons that transmit information.
C Strengthened through practice and repetition.
D Responsible for learning and memory.
E Formed when we acquire new knowledge or skills.";Fill in a Table Question
"Passage :

Climate change is a pressing global issue that is affecting our planet in numerous ways. Rising global temperatures are leading to more frequent and severe heatwaves, droughts, and floods. These extreme weather events can have devastating consequences for ecosystems, agriculture, and human health. Additionally, climate change is causing sea levels to rise, threatening coastal communities. To address this crisis, it is essential to reduce greenhouse gas emissions and transition to clean and renewable energy sources.

Question:

Complete the table below to summarize the impacts of climate change. Match the appropriate statements to the corresponding impact.

Impact: Rising Temperatures, Rising Sea Levels

Statements:
A More frequent and severe heatwaves.
B Increased risk of droughts and floods.
C Threat to coastal communities.
D Disruption of ecosystems.
E Damage to infrastructure and property.";Fill in a Table Question
"Passage :

Artificial intelligence (AI) is rapidly transforming various industries and aspects of our daily lives. AI-powered systems are being used to automate tasks, analyze data, and make decisions. While AI offers numerous benefits, it also raises ethical concerns, such as job displacement and algorithmic bias. It is crucial to develop AI systems that are transparent, fair, and accountable.

Question:

Complete the table below to summarize the potential impacts of AI. Match the appropriate statements to the corresponding impact.

Impact: Benefits of AI, Ethical Concerns of AI

Statements:
A Automation of tasks.
B Job displacement.
C Algorithmic bias.
D Improved decision-making.
E Enhanced efficiency.";Fill in a Table Question
"Passage :

The Great Depression was a severe worldwide economic depression that began in 1929 and lasted for a decade. It had a profound impact on societies around the globe, leading to high unemployment rates, poverty, and social unrest. Government policies and international cooperation played a crucial role in mitigating the effects of the Great Depression and eventually leading to economic recovery.

Question:

Complete the table below to summarize the key aspects of the Great Depression. Match the appropriate statements to the corresponding category.

Category: Economic Impact, Social Impact, Government Response

Statements:
A High unemployment rates.
B Poverty and social unrest.
C Implementation of government programs.
D International cooperation.
E Decline in global trade.";Fill in a Table Question
"Passage :

The Industrial Revolution marked a significant shift in human history, transforming societies from agrarian to industrial. It brought about technological advancements, increased production, and urbanization. However, it also led to social and environmental challenges, such as poor working conditions, pollution, and inequality.

Question:

Complete the table below to summarize the key aspects of the Industrial Revolution. Match the appropriate statements to the corresponding category.

Category: Technological Advancements, Social Impacts, Environmental Impacts

Statements:
A Mechanization of production.
B Urbanization and population growth.
C Poor working conditions and low wages.
D Pollution and environmental degradation.
E Increased productivity and economic growth.";Fill in a Table Question
"Passage :

The human body is a complex system that requires a balanced diet to function optimally. Essential nutrients, such as vitamins, minerals, and proteins, are vital for maintaining good health. A healthy diet can help prevent chronic diseases, boost the immune system, and improve overall well-being.

Question:

Complete the table below to summarize the importance of a balanced diet. Match the appropriate statements to the corresponding benefit.

Benefit: Disease Prevention, Immune System Boost, Overall Well-being

Statements:
A Reduced risk of chronic diseases.
A Stronger immune system.
A Increased energy levels.
A Improved mental health.
A Better digestion.";Fill in a Table Question
"Passage :

The Renaissance was a period of great cultural and intellectual flourishing in Europe. It marked a transition from the Middle Ages to the modern era, characterized by a renewed interest in classical Greek and Roman thought, art, and literature. The Renaissance gave rise to significant advancements in science, philosophy, and the arts.

Question:

Complete the table below to summarize the key characteristics of the Renaissance. Match the appropriate statements to the corresponding category.

Category: Cultural Revival, Intellectual Advancements, Artistic Innovations

Statements:
A Renewed interest in classical thought.
B Humanism and individualism.
C Scientific discoveries and inventions.
D Realistic and expressive art.
E Development of perspective and anatomy.";Fill in a Table Question
"Passage :

The Cold War was a period of geopolitical tension between the United States and the Soviet Union and their respective allies. It was characterized by ideological differences, arms races, and proxy wars. The Cold War had a profound impact on global politics and economics, shaping the 20th century.   

Question:

Complete the table below to summarize the key aspects of the Cold War. Match the appropriate statements to the corresponding category.

Category: Ideological Differences, Arms Race, Proxy Wars

Statements:
A Capitalism versus communism.
B Nuclear weapons development.
C Korean War and Vietnam War.
D Space Race.
E Berlin Wall.";Fill in a Table Question
"Passage :

The French Revolution was a period of major social and political upheaval in France that began in 1789. It had a profound impact on French history and inspired revolutionary movements worldwide. The Revolution led to the overthrow of the monarchy, the establishment of a republic, and significant social and economic reforms.

Question:

Complete the table below to summarize the key aspects of the French Revolution. Match the appropriate statements to the corresponding category.

Category: Causes, Events, Outcomes

Statements:
A Inequality and social injustice.
B Economic crisis.
C Storming of the Bastille.
D Declaration of the Rights of Man and of the Citizen.
D Execution of King Louis XVI and Queen Marie Antoinette.
E Rise of Napoleon Bonaparte.";Fill in a Table Question
